Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
147,1.127,-0.023,-2.962,7,15,,,-0.014,-0.866,-2.966,1.92E-05,,,,,,,,,
148,1.127,-0.023,-2.985,8,15,,,-0.014,-0.866,-2.981,1.47E-05,,,,,,,,,
149,1.137,-0.013,-2.997,9,15,,,-0.014,-0.866,-2.995,4.17E-06,,,,,,,,,
150,1.13,-0.020,-3.017,10,15,,,-0.014,-0.866,-3.009,5.26E-05,,,,,,,,,
151,1.133,-0.017,-3.033,1,16,-0.004,-2.519,-0.004,-2.519,-3.052,3.64E-04,,,,,,,,,
152,1.13,-0.020,-3.053,2,16,,,-0.004,-2.519,-3.056,9.70E-06,,,,,,,,,
153,1.14,-0.010,-3.062,3,16,,,-0.004,-2.519,-3.059,8.18E-06,,,,,,,,,
154,1.137,-0.013,-3.075,4,16,,,-0.004,-2.519,-3.063,1.40E-04,,,,,,,,,
155,1.147,-0.003,-3.077,5,16,,,-0.004,-2.519,-3.066,1.17E-04,,,,,,,,,
156,1.153,0.003,-3.074,6,16,,,-0.004,-2.519,-3.070,1.43E-05,,,,,,,,,
157,1.147,-0.003,-3.076,7,16,,,-0.004,-2.519,-3.073,7.64E-06,,,,,,,,,
158,1.137,-0.013,-3.089,8,16,,,-0.004,-2.519,-3.077,1.38E-04,,,,,,,,,
159,1.153,0.003,-3.085,9,16,,,-0.004,-2.519,-3.080,2.22E-05,,,,,,,,,
160,1.177,0.027,-3.058,10,16,,,-0.004,-2.519,-3.084,6.92E-04,,,,,,,,,
161,1.17,0.020,-3.037,1,17,0.014,-5.275,0.014,-5.275,-3.027,9.60E-05,,,,,,,,,
162,1.173,0.023,-3.014,2,17,,,0.014,-5.275,-3.013,7.11E-08,,,,,,,,,
163,1.17,0.020,-2.993,3,17,,,0.014,-5.275,-2.999,3.93E-05,,,,,,,,,
164,1.163,0.013,-2.980,4,17,,,0.014,-5.275,-2.985,3.36E-05,,,,,,,,,
165,1.157,0.007,-2.972,5,17,,,0.014,-5.275,-2.972,4.44E-07,,,,,,,,,
166,1.17,0.020,-2.952,6,17,,,0.014,-5.275,-2.958,3.44E-05,,,,,,,,,
167,1.157,0.007,-2.944,7,17,,,0.014,-5.275,-2.944,3.60E-07,,,,,,,,,
168,1.163,0.013,-2.931,8,17,,,0.014,-5.275,-2.930,1.14E-06,,,,,,,,,
169,1.16,0.010,-2.920,9,17,,,0.014,-5.275,-2.916,2.06E-05,,,,,,,,,
170,1.167,0.017,-2.903,10,17,,,0.014,-5.275,-2.902,1.00E-06,,,,,,,,,
171,1.197,0.047,-2.855,1,18,-0.005,-1.927,-0.005,-1.927,-2.823,1.04E-03,,,,,,,,,
172,1.173,0.023,-2.832,2,18,,,-0.005,-1.927,-2.828,1.20E-05,,,,,,,,,
